HL70126=RD,Records,HL70126
RACE FULL=1784-8,Nikolai,HL70005
RACE FULL=2017-2,Nikolski,HL70005
RACE FULL=1785-5,Ninilchik,HL70005
RACE FULL=1241-9,Nipmuc,HL70005
RACE FULL=1346-6,Nishinam,HL70005
RACE FULL=1523-0,Nisqually,HL70005
RACE FULL=1872-1,Noatak,HL70005
RACE FULL=1389-6,Nomalaki,HL70005
RACE FULL=1873-9,Nome,HL70005
RACE FULL=1786-3,Nondalton,HL70005
RACE FULL=1524-8,Nooksack,HL70005
RACE FULL=1874-7,Noorvik,HL70005
RACE FULL=1022-3,Northern Arapaho,HL70005
RACE FULL=1095-9,Northern Cherokee,HL70005
RACE FULL=1103-1,Northern Cheyenne,HL70005
RACE FULL=1429-0,Northern Paiute,HL70005
RACE FULL=1469-6,Northern Pomo,HL70005
RACE FULL=1787-1,Northway,HL70005
RACE FULL=1391-2,Northwest Tribes,HL70005
RACE FULL=1875-4,Nuiqsut,HL70005
RACE FULL=1788-9,Nulato,HL70005
RACE FULL=1943-0,Nunapitchukv,HL70005
RACE FULL=1622-0,Oglala Sioux,HL70005
RACE FULL=2043-8,Okinawan,HL70005
RACE FULL=1016-5,Oklahoma Apache,HL70005
RACE FULL=1042-1,Oklahoma Cado,HL70005
RACE FULL=1160-1,Oklahoma Choctaw,HL70005
RACE FULL=1176-7,Oklahoma Comanche,HL70005
RACE FULL=1218-7,Oklahoma Delaware,HL70005
RACE FULL=1306-0,Oklahoma Kickapoo,HL70005
RACE FULL=1310-2,Oklahoma Kiowa,HL70005
RACE FULL=1361-5,Oklahoma Miami,HL70005
RACE FULL=1414-2,Oklahoma Ottawa,HL70005
RACE FULL=1446-4,Oklahoma Pawnee,HL70005
RACE FULL=1451-4,Oklahoma Peoria,HL70005
RACE FULL=1476-1,Oklahoma Ponca,HL70005
RACE FULL=1554-5,Oklahoma Sac and Fox,HL70005
RACE FULL=1571-9,Oklahoma Seminole,HL70005
RACE FULL=1998-4,Old Harbor,HL70005
RACE FULL=1403-5,Omaha,HL70005
RACE FULL=1288-0,Oneida,HL70005
RACE FULL=1289-8,Onondaga,HL70005
RACE FULL=1140-3,Ontonagon,HL70005
RACE FULL=1405-0,Oregon Athabaskan,HL70005
RACE FULL=1407-6,Osage,HL70005
RACE FULL=1944-8,Oscarville,HL70005
RACE FULL=2500-7,Other Pacific Islander,HL70005
RACE FULL=2131-1,Other Race,HL70005
RACE FULL=1409-2,Otoe-Missouria,HL70005
RACE FULL=1411-8,Ottawa,HL70005
RACE FULL=1999-2,Ouzinkie,HL70005
RACE FULL=1430-8,Owens Valley,HL70005
RACE FULL=1416-7,Paiute,HL70005
RACE FULL=2044-6,Pakistani,HL70005
RACE FULL=1333-4,Pala,HL70005
RACE FULL=2091-7,Palauan,HL70005
RACE FULL=2124-6,Palestinian,HL70005
RACE FULL=1439-9,Pamunkey,HL70005
RACE FULL=1592-5,Panamint,HL70005
RACE FULL=2102-2,Papua New Guinean,HL70005
RACE FULL=1713-7,Pascua Yaqui,HL70005
RACE FULL=1441-5,Passamaquoddy,HL70005
RACE FULL=1242-7,Paugussett,HL70005
RACE FULL=2018-0,Pauloff Harbor,HL70005
RACE FULL=1334-2,Pauma,HL70005
RACE FULL=1445-6,Pawnee,HL70005
RACE FULL=1017-3,Payson Apache,HL70005
RACE FULL=1335-9,Pechanga,HL70005
RACE FULL=1789-7,Pedro Bay,HL70005
RACE FULL=1828-3,Pelican,HL70005
RACE FULL=1448-0,Penobscot,HL70005
RACE FULL=1450-6,Peoria,HL70005
RACE FULL=1453-0,Pequot,HL70005
RACE FULL=1980-2,Perryville,HL70005
RACE FULL=1829-1,Petersburg,HL70005
RACE FULL=1499-3,Picuris,HL70005
RACE FULL=1981-0,Pilot Point,HL70005
RACE FULL=1945-5,Pilot Station,HL70005
RACE FULL=1456-3,Pima,HL70005
RACE FULL=1623-8,Pine Ridge Sioux,HL70005
RACE FULL=1624-6,Pipestone Sioux,HL70005
RACE FULL=1500-8,Piro,HL70005
RACE FULL=1460-5,Piscataway,HL70005
RACE FULL=1462-1,Pit River,HL70005
RACE FULL=1946-3,Pitkas Point,HL70005
RACE FULL=1947-1,Platinum,HL70005
RACE FULL=1443-1,Pleasant Point Passamaquoddy,HL70005
RACE FULL=1201-3,Poarch Band,HL70005
RACE FULL=1243-5,Pocomoke Acohonock,HL70005
RACE FULL=2094-1,Pohnpeian,HL70005
RACE FULL=1876-2,Point Hope,HL70005
RACE FULL=1877-0,Point Lay,HL70005
RACE FULL=1501-6,Pojoaque,HL70005
RACE FULL=1483-7,Pokagon Potawatomi,HL70005
RACE FULL=2115-4,Polish,HL70005
RACE FULL=2078-4,Polynesian,HL70005
RACE FULL=1464-7,Pomo,HL70005
RACE FULL=1474-6,Ponca,HL70005
RACE FULL=1328-4,Poospatuck,HL70005
RACE FULL=1315-1,Port Gamble Klallam,HL70005
RACE FULL=1988-5,Port Graham,HL70005
RACE FULL=1982-8,Port Heiden,HL70005
RACE FULL=2000-8,Port Lions,HL70005
RACE FULL=1525-5,Port Madison,HL70005
RACE FULL=1948-9,Portage Creek,HL70005
RACE FULL=1478-7,Potawatomi,HL70005
RACE FULL=1487-8,Powhatan,HL70005
RACE FULL=1484-5,Prairie Band,HL70005
RACE FULL=1625-3,Prairie Island Sioux,HL70005
RACE FULL=1202-1,Principal Creek Indian Nation,HL70005
RACE FULL=1626-1,Prior Lake Sioux,HL70005
RACE FULL=1489-4,Pueblo,HL70005
RACE FULL=1518-0,Puget Sound Salish,HL70005
RACE FULL=1526-3,Puyallup,HL70005
RACE FULL=1431-6,Pyramid Lake,HL70005
RACE FULL=2019-8,Qagan Toyagungin,HL70005
RACE FULL=2020-6,Qawalangin,HL70005
RACE FULL=1541-2,Quapaw,HL70005
RACE FULL=1730-1,Quechan,HL70005
RACE FULL=1084-3,Quileute,HL70005
RACE FULL=1543-8,Quinault,HL70005
RACE FULL=1949-7,Quinhagak,HL70005
RACE FULL=1385-4,Ramah Navajo,HL70005
RACE FULL=1790-5,Rampart,HL70005
RACE FULL=1219-5,Rampough Mountain,HL70005
RACE FULL=1545-3,Rappahannock,HL70005
RACE FULL=1141-1,Red Cliff Chippewa,HL70005
RACE FULL=1950-5,Red Devil,HL70005
RACE FULL=1142-9,Red Lake Chippewa,HL70005
RACE FULL=1061-1,Red Wood,HL70005
RACE FULL=1547-9,Reno-Sparks,HL70005
RACE FULL=1151-0,Rocky Boy's Chippewa Cree,HL70005
RACE FULL=1627-9,Rosebud Sioux,HL70005
RACE FULL=1549-5,Round Valley,HL70005
RACE FULL=1791-3,Ruby,HL70005
RACE FULL=1593-3,Ruby Valley,HL70005
RACE FULL=1551-1,Sac and Fox,HL70005
RACE FULL=1143-7,Saginaw Chippewa,HL70005
RACE FULL=2095-8,Saipanese,HL70005
RACE FULL=1792-1,Salamatof,HL70005
RACE FULL=1556-0,Salinan,HL70005
RACE FULL=1558-6,Salish,HL70005
RACE FULL=1560-2,Salish and Kootenai,HL70005
RACE FULL=1458-9,Salt River Pima-Maricopa,HL70005
RACE FULL=1527-1,Samish,HL70005
RACE FULL=2080-0,Samoan,HL70005
RACE FULL=1018-1,San Carlos Apache,HL70005
RACE FULL=1502-4,San Felipe,HL70005
RACE FULL=1503-2,San Ildefonso,HL70005
RACE FULL=1506-5,San Juan,HL70005
RACE FULL=1505-7,San Juan De,HL70005
RACE FULL=1504-0,San Juan Pueblo,HL70005
RACE FULL=1432-4,San Juan Southern Paiute,HL70005
RACE FULL=1574-3,San Manual,HL70005
RACE FULL=1229-4,San Pasqual,HL70005
RACE FULL=1656-8,San Xavier,HL70005
RACE FULL=1220-3,Sand Hill,HL70005
RACE FULL=2023-0,Sand Point,HL70005
RACE FULL=1507-3,Sandia,HL70005
RACE FULL=1628-7,Sans Arc Sioux,HL70005
RACE FULL=1508-1,Santa Ana,HL70005
RACE FULL=1509-9,Santa Clara,HL70005
RACE FULL=1062-9,Santa Rosa,HL70005
RACE FULL=1050-4,Santa Rosa Cahuilla,HL70005
RACE FULL=1163-5,Santa Ynez,HL70005
RACE FULL=1230-2,Santa Ysabel,HL70005
RACE FULL=1629-5,Santee Sioux,HL70005
RACE FULL=1510-7,Santo Domingo,HL70005
RACE FULL=1528-9,Sauk-Suiattle,HL70005
RACE FULL=1145-2,Sault Ste. Marie Chippewa,HL70005
RACE FULL=1893-7,Savoonga,HL70005
RACE FULL=1830-9,Saxman,HL70005
RACE FULL=1952-1,Scammon Bay,HL70005
RACE FULL=1562-8,Schaghticoke,HL70005
RACE FULL=1564-4,Scott Valley,HL70005
RACE FULL=2116-2,Scottish,HL70005
RACE FULL=1470-4,Scotts Valley,HL70005
RACE FULL=1878-8,Selawik,HL70005
RACE FULL=1793-9,Seldovia,HL70005
RACE FULL=1657-6,Sells,HL70005
RACE FULL=1566-9,Seminole,HL70005
RACE FULL=1290-6,Seneca,HL70005
RACE FULL=1291-4,Seneca Nation,HL70005
RACE FULL=1292-2,Seneca-Cayuga,HL70005
RACE FULL=1573-5,Serrano,HL70005
RACE FULL=1329-2,Setauket,HL70005
RACE FULL=1795-4,Shageluk,HL70005
RACE FULL=1879-6,Shaktoolik,HL70005
RACE FULL=1576-8,Shasta,HL70005
RACE FULL=1578-4,Shawnee,HL70005
RACE FULL=1953-9,Sheldon's Point,HL70005
RACE FULL=1582-6,Shinnecock,HL70005
RACE FULL=1880-4,Shishmaref,HL70005
RACE FULL=1584-2,Shoalwater Bay,HL70005
RACE FULL=1586-7,Shoshone,HL70005
RACE FULL=1602-2,Shoshone Paiute,HL70005
RACE FULL=1881-2,Shungnak,HL70005
RACE FULL=1891-1,Siberian Eskimo,HL70005
RACE FULL=1894-5,Siberian Yupik,HL70005
RACE FULL=1607-1,Siletz,HL70005
RACE FULL=2051-1,Singaporean,HL70005
RACE FULL=1609-7,Sioux,HL70005
RACE FULL=1631-1,Sisseton Sioux,HL70005
RACE FULL=1630-3,Sisseton-Wahpeton,HL70005
RACE FULL=1831-7,Sitka,HL70005
RACE FULL=1643-6,Siuslaw,HL70005
RACE FULL=1529-7,Skokomish,HL70005
RACE FULL=1594-1,Skull Valley,HL70005
RACE FULL=1530-5,Skykomish,HL70005
RACE FULL=1794-7,Slana,HL70005
RACE FULL=1954-7,Sleetmute,HL70005
RACE FULL=1531-3,Snohomish,HL70005
RACE FULL=1532-1,Snoqualmie,HL70005
RACE FULL=1336-7,Soboba,HL70005
RACE FULL=1146-0,Sokoagon Chippewa,HL70005
RACE FULL=1882-0,Solomon,HL70005
RACE FULL=2103-0,Solomon Islander,HL70005
RACE FULL=1073-6,South American Indian,HL70005
RACE FULL=1595-8,South Fork Shoshone,HL70005
RACE FULL=2024-8,South Naknek,HL70005
RACE FULL=1811-9,Southeast Alaska,HL70005
RACE FULL=1244-3,Southeastern Indians,HL70005
RACE FULL=1023-1,Southern Arapaho,HL70005
RACE FULL=1104-9,Southern Cheyenne,HL70005
RACE FULL=1433-2,Southern Paiute,HL70005
RACE FULL=1074-4,Spanish American Indian,HL70005
RACE FULL=1632-9,Spirit Lake Sioux,HL70005
RACE FULL=1645-1,Spokane,HL70005
RACE FULL=1533-9,Squaxin Island,HL70005
RACE FULL=2045-3,Sri Lankan,HL70005
RACE FULL=1144-5,St. Croix Chippewa,HL70005
RACE FULL=2021-4,St. George,HL70005
RACE FULL=1963-8,St. Mary's,HL70005
RACE FULL=1951-3,St. Michael,HL70005
RACE FULL=2022-2,St. Paul,HL70005
RACE FULL=1633-7,Standing Rock Sioux,HL70005
RACE FULL=1203-9,Star Clan of Muscogee Creeks,HL70005
RACE FULL=1955-4,Stebbins,HL70005
RACE FULL=1534-7,Steilacoom,HL70005
RACE FULL=1796-2,Stevens,HL70005
RACE FULL=1647-7,Stewart,HL70005
RACE FULL=1535-4,Stillaguamish,HL70005
RACE FULL=1649-3,Stockbridge,HL70005
RACE FULL=1797-0,Stony River,HL70005
RACE FULL=1471-2,Stonyford,HL70005
RACE FULL=2002-4,Sugpiaq,HL70005
RACE FULL=1472-0,Sulphur Bank,HL70005
RACE FULL=1434-0,Summit Lake,HL70005
RACE FULL=2004-0,Suqpigaq,HL70005
RACE FULL=1536-2,Suquamish,HL70005
RACE FULL=1651-9,Susanville,HL70005
RACE FULL=1245-0,Susquehanock,HL70005
RACE FULL=1537-0,Swinomish,HL70005
RACE FULL=1231-0,Sycuan,HL70005
RACE FULL=2125-3,Syrian,HL70005
RACE FULL=1705-3,Table Bluff,HL70005
RACE FULL=1719-4,Tachi,HL70005
RACE FULL=2081-8,Tahitian,HL70005
RACE FULL=2035-4,Taiwanese,HL70005
RACE FULL=1063-7,Takelma,HL70005
RACE FULL=1798-8,Takotna,HL70005
RACE FULL=1397-9,Talakamish,HL70005
RACE FULL=1799-6,Tanacross,HL70005
RACE FULL=1800-2,Tanaina,HL70005
RACE FULL=1801-0,Tanana,HL70005
RACE FULL=1802-8,Tanana Chiefs,HL70005
RACE FULL=1511-5,Taos,HL70005
RACE FULL=1969-5,Tatitlek,HL70005
RACE FULL=1803-6,Tazlina,HL70005
RACE FULL=1804-4,Telida,HL70005
RACE FULL=1883-8,Teller,HL70005
RACE FULL=1338-3,Temecula,HL70005
RACE FULL=1596-6,Te-Moak Western Shoshone,HL70005
RACE FULL=1832-5,Tenakee Springs,HL70005
RACE FULL=1398-7,Tenino,HL70005
RACE FULL=1512-3,Tesuque,HL70005
RACE FULL=1805-1,Tetlin,HL70005
RACE FULL=1634-5,Teton Sioux,HL70005
RACE FULL=1513-1,Tewa,HL70005
RACE FULL=1307-8,Texas Kickapoo,HL70005
RACE FULL=2046-1,Thai,HL70005
RACE FULL=1204-7,Thlopthlocco,HL70005
RACE FULL=1514-9,Tigua,HL70005
RACE FULL=1399-5,Tillamook,HL70005
RACE FULL=1597-4,Timbi-Sha Shoshone,HL70005
RACE FULL=1833-3,Tlingit,HL70005
RACE FULL=1813-5,Tlingit-Haida,HL70005
RACE FULL=2073-5,Tobagoan,HL70005
RACE FULL=1956-2,Togiak,HL70005
RACE FULL=1653-5,Tohono O'Odham,HL70005
RACE FULL=1806-9,Tok,HL70005
RACE FULL=2083-4,Tokelauan,HL70005
RACE FULL=1957-0,Toksook,HL70005
RACE FULL=1659-2,Tolowa,HL70005
RACE FULL=1293-0,Tonawanda Seneca,HL70005
RACE FULL=2082-6,Tongan,HL70005
RACE FULL=1661-8,Tonkawa,HL70005
RACE FULL=1051-2,Torres-Martinez,HL70005
RACE FULL=2074-3,Trinidadian,HL70005
RACE FULL=1272-4,Trinity,HL70005
RACE FULL=1837-4,Tsimshian,HL70005
RACE FULL=1205-4,Tuckabachee,HL70005
RACE FULL=1538-8,Tulalip,HL70005
RACE FULL=1720-2,Tule River,HL70005
RACE FULL=1958-8,Tulukskak,HL70005
RACE FULL=1246-8,Tunica Biloxi,HL70005
RACE FULL=1959-6,Tuntutuliak,HL70005
RACE FULL=1960-4,Tununak,HL70005
RACE FULL=1147-8,Turtle Mountain,HL70005
RACE FULL=1294-8,Tuscarora,HL70005
RACE FULL=1096-7,Tuscola,HL70005
RACE FULL=1337-5,Twenty-Nine Palms,HL70005
RACE FULL=1961-2,Twin Hills,HL70005
RACE FULL=1635-2,Two Kettle Sioux,HL70005
RACE FULL=1663-4,Tygh,HL70005
RACE FULL=1807-7,Tyonek,HL70005
RACE FULL=1970-3,Ugashik,HL70005
RACE FULL=1672-5,Uintah Ute,HL70005
RACE FULL=1665-9,Umatilla,HL70005
RACE FULL=1964-6,Umkumiate,HL70005
RACE FULL=1667-5,Umpqua,HL70005
RACE FULL=1884-6,Unalakleet,HL70005
RACE FULL=2025-5,Unalaska,HL70005
RACE FULL=2006-5,Unangan Aleut,HL70005
RACE FULL=2026-3,Unga,HL70005
RACE FULL=1097-5,United Keetowah Band of Cherokee,HL70005
RACE FULL=1118-9,Upper Chinook,HL70005
RACE FULL=1636-0,Upper Sioux,HL70005
RACE FULL=1539-6,Upper Skagit,HL70005
RACE FULL=1670-9,Ute,HL70005
RACE FULL=1673-3,Ute Mountain Ute,HL70005
RACE FULL=1435-7,Utu Utu Gwaitu Paiute,HL70005
RACE FULL=1808-5,Venetie,HL70005
RACE FULL=2047-9,Vietnamese,HL70005
RACE FULL=1247-6,Waccamaw-Siousan,HL70005
RACE FULL=1637-8,Wahpekute Sioux,HL70005
RACE FULL=1638-6,Wahpeton Sioux,HL70005
RACE FULL=1675-8,Wailaki,HL70005
RACE FULL=1885-3,Wainwright,HL70005
RACE FULL=1119-7,Wakiakum Chinook,HL70005
RACE FULL=1886-1,Wales,HL70005
RACE FULL=1436-5,Walker River,HL70005
RACE FULL=1677-4,Walla-Walla,HL70005
RACE FULL=1679-0,Wampanoag,HL70005
RACE FULL=1064-5,Wappo,HL70005
RACE FULL=1683-2,Warm Springs,HL70005
RACE FULL=1685-7,Wascopum,HL70005
RACE FULL=1598-2,Washakie,HL70005
RACE FULL=1687-3,Washoe,HL70005
RACE FULL=1639-4,Wazhaza Sioux,HL70005
RACE FULL=1400-1,Wenatchee,HL70005
RACE FULL=2075-0,West Indian,HL70005
RACE FULL=1098-3,Western Cherokee,HL70005
RACE FULL=1110-6,Western Chickahominy,HL70005
RACE FULL=1273-2,Whilkut,HL70005
RACE FULL=2106-3,White,HL70005
RACE FULL=1148-6,White Earth,HL70005
RACE FULL=1887-9,White Mountain,HL70005
RACE FULL=1019-9,White Mountain Apache,HL70005
RACE FULL=1888-7,White Mountain Inupiat,HL70005
RACE FULL=1692-3,Wichita,HL70005
RACE FULL=1248-4,Wicomico,HL70005
RACE FULL=1120-5,Willapa Chinook,HL70005
RACE FULL=1694-9,Wind River,HL70005
RACE FULL=1024-9,Wind River Arapaho,HL70005
RACE FULL=1599-0,Wind River Shoshone,HL70005
RACE FULL=1696-4,Winnebago,HL70005
RACE FULL=1700-4,Winnemucca,HL70005
RACE FULL=1702-0,Wintun,HL70005
RACE FULL=1485-2,Wisconsin Potawatomi,HL70005
RACE FULL=1809-3,Wiseman,HL70005
RACE FULL=1121-3,Wishram,HL70005
RACE FULL=1704-6,Wiyot,HL70005
RACE FULL=1834-1,Wrangell,HL70005
RACE FULL=1295-5,Wyandotte,HL70005
RACE FULL=1401-9,Yahooskin,HL70005
RACE FULL=1707-9,Yakama,HL70005
RACE FULL=1709-5,Yakama Cowlitz,HL70005
RACE FULL=1835-8,Yakutat,HL70005
RACE FULL=1065-2,Yana,HL70005
RACE FULL=1640-2,Yankton Sioux,HL70005
RACE FULL=1641-0,Yanktonai Sioux,HL70005
RACE FULL=2098-2,Yapese,HL70005
RACE FULL=1711-1,Yaqui,HL70005
RACE FULL=1731-9,Yavapai,HL70005
RACE FULL=1715-2,Yavapai Apache,HL70005
RACE FULL=1437-3,Yerington Paiute,HL70005
RACE FULL=1717-8,Yokuts,HL70005
RACE FULL=1600-6,Yomba,HL70005
RACE FULL=1722-8,Yuchi,HL70005
RACE FULL=1066-0,Yuki,HL70005
RACE FULL=1724-4,Yuman,HL70005
RACE FULL=1896-0,Yupik Eskimo,HL70005
RACE FULL=1732-7,Yurok,HL70005
RACE FULL=2066-9,Zairean,HL70005
RACE FULL=1515-6,Zia,HL70005
RACE FULL=1516-4,Zuni,HL70005
LANGUAGE=ara,Arabic,HL70296
LANGUAGE=arm,Armenian,HL70296
LANGUAGE=cat,Catalan; Valencian,HL70296
LANGUAGE=chi,Chinese,HL70296
LANGUAGE=dan,Danish,HL70296
LANGUAGE=eng,English,HL70296
LANGUAGE=fre,Armenian,HL70296
LANGUAGE=ger,German,HL70296
LANGUAGE=hat,Haitian; Haitian Creole,HL70296
LANGUAGE=heb,Hebrew,HL70296
LANGUAGE=hin,Hindi,HL70296
LANGUAGE=hmn,Armenian,HL70296
LANGUAGE=jpn,Japanese,HL70296
LANGUAGE=kor,Korean,HL70296
LANGUAGE=rus,Russian,HL70296
LANGUAGE=som,Somali,HL70296
LANGUAGE=spa,Armenian,HL70296
LANGUAGE=vie,Vietnamese,HL70296
COMPLETION =CP,Complete,HL70322
COMPLETION =RE,Refused,HL70322
COMPLETION =NA,Not administered,HL70322
COMPLETION =PA,Partially administered,HL70322
ACTION=A,Add,HL70323
ACTION=U,Update,HL70323
ACTION=D,Delete,HL70323
DEGREE=PN,Advanced Practice Nurse,HL70360
DEGREE=AA,Associate of Arts,HL70360
DEGREE=AS,Associate of Science,HL70360
DEGREE=BA,Bachelor of Arts,HL70360
DEGREE=BN,Bachelor of Nursing,HL70360
DEGREE=BS,Bachelor of Science,HL70360
DEGREE=BSN,Bachelor of Science in Nursing,HL70360
DEGREE=CER,Certificate,HL70360
DEGREE=CANP,Certified Adult Nurse Practitioner,HL70360
DEGREE=CMA,Certified Medical Assistant,HL70360
DEGREE=CNM,Certified Nurse Midwife,HL70360
DEGREE=CNP,Certified Nurse Practitioner,HL70360
DEGREE=CNS,Certified Nurse Specialist,HL70360
DEGREE=CNA,Certified Nurse’s Assistant,HL70360
DEGREE=CPNP,Certified Pediatric Nurse Practitioner,HL70360
DEGREE=CRN,Certified Registered Nurse,HL70360
DEGREE=DIP,Diploma,HL70360
DEGREE=MD,Doctor of Medicine,HL70360
DEGREE=DO,Doctor of Osteopathy,HL70360
DEGREE=PharmD,Doctor of Pharmacy,HL70360
DEGREE=PHD,Doctor of Philosophy,HL70360
DEGREE=EMT,Emergency Medical Technician,HL70360
DEGREE=EMT-P,Emergency Medical Technician – Paramedic,HL70360
DEGREE=FPNP,Family Practice Nurse Practitioner,HL70360
DEGREE=HS,High School Graduate,HL70360
DEGREE=JD,Juris Doctor,HL70360
DEGREE=LPN,Licensed Practical Nurse,HL70360
DEGREE=MA,Master of Arts,HL70360
DEGREE=MBA,Master of Business Administration,HL70360
DEGREE=MPH,Master of Public Health,HL70360
DEGREE=MS,Master of Science,HL70360
DEGREE=MSN,Master of Science – Nursing,HL70360
DEGREE=MDA,Medical Assistant,HL70360
DEGREE=MT,Medical Technician,HL70360
DEGREE=NG,Non-Graduate,HL70360
DEGREE=NP,Nurse Practitioner,HL70360
DEGREE=PA,Physician Assistant,HL70360
DEGREE=PHN,Public Health Nurse,HL70360
DEGREE=RMA,Registered Medical Assistant,HL70360
DEGREE=RN,Registered Nurse,HL70360
DEGREE=RPH,Registered Pharmacist,HL70360
DEGREE=SEC,Secretarial Certificate,HL70360
DEGREE=TS,Trade School Graduate,HL70360


HL70155=AL,Always,HL70155
HL70155=ER,Error/reject only,HL70155
HL70155=NE,Never,HL70155
HL70155=SU,Successful completion only,HL70155
HL70190=B,Firm/Business,HL70190
HL70190=BA,Bad address ,HL70190
HL70190=BDL,Birth delivery location,HL70190
HL70190=BR,Residence at birth,HL70190
HL70190=C,Current or temporary,HL70190
HL70190=F,Country of origin ,HL70190
HL70190=H,Home,HL70190
HL70190=L,Legal address ,HL70190
HL70190=M,Mailing,HL70190
HL70190=N,Birth (nee) ,HL70190
HL70190=O,Office,HL70190
HL70190=P,Permanent,HL70190
HL70190=RH,Registry home ,HL70190

UCUM=mL,Milliliter,UCUM





HL70162=C28161,Intramuscular ,HL70162
HL70162=C38238,Intradermal ,HL70162
HL70162=C38276,Intravenous ,HL70162
HL70162=C38284,Nasal ,HL70162
HL70162=C38288,Oral ,HL70162
HL70162=C38299,Subcutaneous ,HL70162
HL70162=C38305,Transdermal ,HL70162
HL70162=C38676,Percutaneous ,HL70162
HL70162=ID,Intradermal ,HL70162
HL70162=IM,Intramuscular ,HL70162

HL70162=IV,Intravenous ,HL70162
HL70162=NS,Nasal ,HL70162
HL70162=OTH,Other/Miscellaneous ,HL70162
HL70162=PO,Oral ,HL70162
HL70162=SC,Subcutaneous ,HL70162
HL70162=TD,Transdermal ,HL70162
HL70163=LA,Left Upper Arm ,HL70163
HL70163=LD,Left Deltoid ,HL70163
HL70163=LG,Left Gluteous Medius ,HL70163
HL70163=LLFA,Left Lower Forearm ,HL70163
HL70163=LT,Left Thigh ,HL70163
HL70163=LVL,Left Vastus Lateralis ,HL70163
HL70163=RA,Right Upper Arm ,HL70163
HL70163=RD,Right Deltoid ,HL70163
HL70163=RG,Right Gluteous Medius ,HL70163
HL70163=RLFA,Right Lower Forearm ,HL70163
HL70163=RT,Right Thigh ,HL70163
HL70163=RVL,Right Vastus Lateralis ,HL70163
HL70163=BN,Bilateral Nares,HL70163
HL70163=LA,Left Arm,HL70163
HL70163=MO,Mouth,HL70163
HL70163=LN,Left Nares,HL70163
HL70163=RN,Right Nares,HL70163

HL70064=V01,Not VFC eligible ,HL70064
HL70064=V02,VFC eligible-Medicaid/Medicaid managed care,HL70064
HL70064=V03,VFC eligible-Uninsured ,HL70064
HL70064=V04,VFC eligible- American Indian/Alaskan Native ,HL70064
HL70064=V05,VFC eligible-Federally Qualified Health Center Patient (under-insured) ,HL70064
HL70064=V07,VFC eligibility- Local-specific eligibility ,HL70064
HL70064=OR01,S - Special Projects,HL70064
HL70064=MIA04,Public vaccine - MI-VRP (Michigan Vaccine Replacement Program),HL70064
HL70064=MIA05,Medicare (parts A, B and D),HL70064
HL70064=MIA08,Private Stock Vaccine -Other Public Purchase,HL70064
HL70064=MIA10,All Hazard eligible -Public Purchase,HL70064
HL70064=MIA14,Medicaid-Non VFC,HL70064
HL70396=HL70001,Administrative Sex,HL70396
HL70396=HL70003,Event type,HL70396
HL70396=HL70004,Patient class,HL70396
HL70396=HL70005,Race,HL70396
HL70396=HL70008,Acknowledgement code,HL70396
HL70396=HL70010,Physician ID,HL70396
HL70396=HL70061,Check digit scheme,HL70396
HL70396=HL70063,Relationship,HL70396
HL70396=HL70064,Financial class,HL70396
HL70396=HL70076,Message type,HL70396
HL70396=HL70078,Abnormal flags,HL70396
HL70396=HL70085,Observation result status codes interpretation,HL70396
HL70396=HL70091,Query priority,HL70396
HL70396=HL70102,Delayed acknowledgment type,HL70396
HL70396=HL70103,Processing ID,HL70396
HL70396=HL70104,Version ID,HL70396
HL70396=HL70105,Source of comment,HL70396
HL70396=HL70199,Order Control Codes,HL70396
HL70396=HL70126,Quantity limited request,HL70396
HL70396=HL70136,Yes/No indicator,HL70396
HL70396=HL70155,Accept/Application acknowledgment conditions,HL70396
HL70396=HL70162,Route of administration,HL70396
HL70396=HL70163,Administrative site,HL70396
HL70396=HL70189,Ethnic Group,HL70396
HL70396=HL70190,Address type,HL70396
HL70396=HL70200,Name type,HL70396
HL70396=HL70201,Telecommunication use code,HL70396
HL70396=HL70202,Telecommunication equipment type,HL70396
HL70396=HL70203,Identifier type,HL70396
HL70396=HL70204,Organizational name type,HL70396
HL70396=HL70207,Procesing mode,HL70396
HL70396=HL70208,Query response status,HL70396
HL70396=HL70211,Alternate character sets,HL70396
HL70396=HL70215,Publicity code,HL70396
HL70396=HL70220,Living arrangement,HL70396
HL70396=MVX,Manufacturers of vaccines,HL70396
HL70396=HL70228,Census tract,HL70396
HL70396=HL70289,County/parish,HL70396
HL70396=CVX,Codes for Vaccines administered,HL70396
HL70396=HL70296,Language,HL70396
HL70396=HL70297,CN ID source,HL70396
HL70396=HL70300,Namespace ID,HL70396
HL70396=HL70322,Completion Status,HL70396
HL70396=HL70323,Action code,HL70396
HL70396=HL70354,Message structure,HL70396
HL70396=HL70356,Alternate character set handling scheme,HL70396
HL70396=HL70357,Message error status code,HL70396
HL70396=HL70360,Degree,HL70396
HL70396=HL70361,Application,HL70396
HL70396=HL70362,Facility,HL70396
HL70396=HL70363,Assigning Authority,HL70396
HL70396=HL70396,Coding system,HL70396
HL70396=HL70441,Immunization registry status,HL70396
HL70396=HL70471,Query Name,HL70396
HL70396=HL70516,Error Severity,HL70396
HL70396=HL70533,Application Error Code,HL70396
HL70396=NIP001,Immunization information source,HL70396
HL70396=NIP002,Substance refusal reason,HL70396
HL70396=NIP003,Observation identifiers,HL70396
